TICKET_ID,CREATED_DATE,CLOSED_DATE,SERVICE_NAME,DISTRICT
T00123,2024-02-19,2024-02-21,Water,Toronto-West
T00124,2023-05-11,2023-05-14,Parking Enforcement,Etobicoke
T00125,2023-01-28,2023-01-30,Waste,North York
T00126,2024-04-17,2024-04-19,Roads,Etobicoke
T00127,2023-12-12,2023-12-15,Water,North York
T00128,2024-03-07,2024-03-09,Waste,Etobicoke
T00129,2023-12-25,2023-12-27,Waste,Scarborough
T00130,2023-02-11,2023-02-13,Waste,Scarborough
T00131,2023-06-06,2023-06-06,Waste,Etobicoke
T00132,2023-04-28,2023-04-29,Water,Toronto-East York
T00133,2023-06-21,2023-06-22,Tree Maintenance,York
T00134,2023-04-28,2023-04-30,Roads,Etobicoke
T00135,2023-11-16,2023-11-17,Tree Maintenance,York
T00136,2024-01-20,2024-01-20,Waste,Toronto-East York
T00137,2023-09-06,2023-09-09,Waste,Toronto-East York
T00138,2023-05-04,2023-05-06,Waste,Etobicoke
T00139,2024-01-15,2024-01-15,Waste,Toronto-East York
T00140,2023-01-13,2023-01-16,Waste,York
T00141,2024-04-15,2024-04-15,Water,North York
T00142,2024-06-18,2024-06-21,Animal Services,Etobicoke
T00143,2024-05-10,2024-05-12,Roads,Toronto-West
T00144,2023-10-02,2023-10-03,Parking Enforcement,North York
T00145,2024-04-06,2024-04-09,Waste,Etobicoke
T00146,2024-01-24,2024-01-25,Roads,Etobicoke
T00147,2023-12-30,2024-01-02,Animal Services,North York
T00148,2023-10-10,2023-10-10,Waste,Scarborough
T00149,2024-02-21,2024-02-22,Roads,Toronto-East York
T00150,2024-05-02,2024-05-03,Animal Services,Scarborough
T00151,2023-08-15,2023-08-16,Roads,Scarborough
T00152,2024-01-13,2024-01-13,Roads,Toronto-East York
T00153,2023-12-05,2023-12-07,Roads,Etobicoke
T00154,2023-11-10,2023-11-12,Waste,Scarborough
T00155,2023-07-09,2023-07-11,Waste,Toronto-East York
T00156,2023-10-11,2023-10-12,Tree Maintenance,North York
T00157,2023-04-13,2023-04-13,Animal Services,North York
T00158,2024-01-05,2024-01-07,Tree Maintenance,North York
T00159,2023-02-25,2023-02-27,Tree Maintenance,Toronto-East York
T00160,2023-05-10,2023-05-10,Waste,Scarborough
T00161,2023-10-19,2023-10-19,Roads,North York
T00162,2023-07-08,2023-07-11,Parking Enforcement,Scarborough
T00163,2023-03-08,2023-03-10,Roads,Scarborough
T00164,2023-02-24,2023-02-27,Parking Enforcement,Scarborough
T00165,2023-09-12,2023-09-16,Waste,Toronto-East York
T00166,2023-08-20,2023-08-22,Parking Enforcement,North York
T00167,2024-03-15,2024-03-16,Roads,Toronto-East York
T00168,2023-04-12,2023-04-15,Waste,Toronto-East York
T00169,2023-06-10,2023-06-12,Waste,Etobicoke
T00170,2023-06-10,2023-06-13,Tree Maintenance,North York
T00171,2023-08-26,2023-08-28,Waste,North York
T00172,2024-04-09,2024-04-12,Waste,Toronto-West
T00173,2023-07-22,2023-07-24,Roads,Etobicoke
T00174,2023-06-02,2023-06-06,Waste,Scarborough
T00175,2023-11-11,2023-11-11,Tree Maintenance,Toronto-West
T00176,2023-10-23,2023-10-23,Roads,North York
T00177,2023-10-06,2023-10-08,Tree Maintenance,Etobicoke
T00178,2023-03-24,2023-03-24,Water,Toronto-East York
T00179,2023-01-27,2023-01-27,Waste,York
T00180,2023-01-22,2023-01-26,Waste,Scarborough
T00181,2023-06-29,2023-07-01,Roads,Toronto-East York
T00182,2023-10-12,2023-10-15,Water,Etobicoke
T00183,2023-04-04,2023-04-07,Roads,North York
T00184,2023-11-25,2023-11-26,Roads,Toronto-East York
T00185,2023-10-23,2023-10-23,Water,North York
T00186,2023-02-07,2023-02-08,Roads,York
T00187,2024-02-18,2024-02-20,Parking Enforcement,Toronto-West
T00188,2023-01-02,2023-01-03,Roads,Scarborough
T00189,2024-01-06,2024-01-06,Water,Etobicoke
T00190,2024-03-28,2024-03-30,Tree Maintenance,York
T00191,2024-03-24,2024-03-25,Parking Enforcement,Etobicoke
T00192,2023-01-30,2023-02-03,Waste,Scarborough
T00193,2023-01-15,2023-01-17,Tree Maintenance,Scarborough
T00194,2023-04-27,2023-04-28,Animal Services,Etobicoke
T00195,2023-10-26,2023-10-28,Tree Maintenance,North York
T00196,2024-05-09,2024-05-12,Tree Maintenance,North York
T00197,2024-06-04,2024-06-06,Water,Scarborough
T00198,2023-03-13,2023-03-14,Roads,York
T00199,2024-06-03,2024-06-07,Waste,Scarborough
T00200,2023-11-02,2023-11-05,Water,Toronto-West
T00201,2024-04-02,2024-04-02,Tree Maintenance,North York
T00202,2024-01-22,2024-01-23,Waste,Toronto-East York
T00203,2024-01-28,2024-01-30,Waste,Toronto-East York
T00204,2023-02-14,2023-02-15,Parking Enforcement,North York
T00205,2023-06-05,2023-06-08,Roads,Scarborough
T00206,2024-05-29,2024-06-01,Waste,Toronto-West
T00207,2023-04-13,2023-04-15,Tree Maintenance,Etobicoke
T00208,2023-05-28,2023-05-28,Waste,Etobicoke
T00209,2023-09-29,2023-10-02,Roads,Toronto-East York
T00210,2023-03-24,2023-03-27,Parking Enforcement,North York
T00211,2023-11-21,2023-11-21,Water,Toronto-West
T00212,2024-05-14,2024-05-16,Waste,Toronto-East York
T00213,2023-10-22,2023-10-24,Parking Enforcement,Toronto-East York
T00214,2024-03-20,2024-03-24,Water,Scarborough
T00215,2023-06-20,2023-06-22,Water,York
T00216,2023-02-17,2023-02-19,Roads,North York
T00217,2023-09-08,2023-09-10,Tree Maintenance,Etobicoke
T00218,2023-07-04,2023-07-06,Parking Enforcement,Toronto-East York
T00219,2023-09-04,2023-09-06,Roads,Etobicoke
T00220,2023-08-26,2023-08-27,Waste,Scarborough
T00221,2024-04-21,2024-04-23,Parking Enforcement,Toronto-East York
T00222,2023-06-11,2023-06-16,Parking Enforcement,North York
T00223,2024-03-10,2024-03-13,Water,Etobicoke
T00224,2023-11-06,2023-11-08,Roads,Scarborough
T00225,2024-01-03,2024-01-06,Tree Maintenance,York
T00226,2023-10-30,2023-11-03,Roads,Scarborough
T00227,2023-02-20,2023-02-22,Parking Enforcement,Toronto-East York
T00228,2023-10-21,2023-10-23,Animal Services,Scarborough
T00229,2023-07-14,2023-07-15,Water,Toronto-East York
T00230,2023-05-21,2023-05-21,Water,North York
T00231,2024-03-27,2024-03-27,Waste,North York
T00232,2023-05-15,2023-05-18,Water,Scarborough
T00233,2023-05-16,2023-05-18,Animal Services,Toronto-West
T00234,2024-01-10,2024-01-10,Animal Services,North York
T00235,2024-05-08,2024-05-09,Parking Enforcement,North York
T00236,2023-12-13,2023-12-15,Waste,Toronto-East York
T00237,2023-08-20,2023-08-20,Parking Enforcement,Toronto-East York
T00238,2024-02-11,2024-02-15,Roads,Toronto-West
T00239,2023-01-15,2023-01-16,Waste,Scarborough
T00240,2024-01-13,2024-01-14,Tree Maintenance,Toronto-West
T00241,2024-01-16,2024-01-16,Waste,Scarborough
T00242,2023-01-26,2023-01-26,Roads,Toronto-East York
T00243,2023-03-06,2023-03-06,Water,Etobicoke
T00244,2023-11-06,2023-11-07,Waste,Scarborough
T00245,2024-05-19,2024-05-20,Waste,Scarborough
T00246,2023-05-19,2023-05-20,Parking Enforcement,Toronto-East York
T00247,2024-03-05,2024-03-08,Tree Maintenance,Toronto-East York
T00248,2024-02-29,2024-02-29,Tree Maintenance,York
T00249,2023-10-14,2023-10-14,Waste,North York
T00250,2024-03-30,2024-03-31,Roads,York
T00251,2024-01-12,2024-01-14,Tree Maintenance,York
T00252,2024-01-03,2024-01-06,Parking Enforcement,York
T00253,2024-04-10,2024-04-12,Waste,Scarborough
T00254,2023-01-22,2023-01-25,Parking Enforcement,Toronto-West
T00255,2023-07-30,2023-08-01,Waste,Toronto-East York
T00256,2023-08-01,2023-08-01,Waste,Toronto-East York
T00257,2023-01-03,2023-01-04,Waste,York
T00258,2023-05-14,2023-05-14,Waste,Toronto-West
T00259,2023-05-15,2023-05-16,Waste,Toronto-West
T00260,2023-09-01,2023-09-03,Waste,Scarborough
T00261,2024-03-07,2024-03-09,Tree Maintenance,Toronto-East York
T00262,2024-05-02,2024-05-03,Tree Maintenance,Etobicoke
T00263,2023-08-15,2023-08-17,Parking Enforcement,Scarborough
T00264,2024-06-17,2024-06-18,Waste,York
T00265,2024-02-16,2024-02-20,Roads,Scarborough
T00266,2024-03-30,2024-04-01,Tree Maintenance,Scarborough
T00267,2023-10-09,2023-10-11,Water,Etobicoke
T00268,2023-11-29,2023-11-30,Waste,Etobicoke
T00269,2024-03-16,2024-03-19,Waste,Toronto-East York
T00270,2023-08-09,2023-08-09,Roads,Toronto-West
T00271,2024-02-13,2024-02-16,Roads,Scarborough
T00272,2024-03-13,2024-03-14,Parking Enforcement,Toronto-East York
T00273,2024-04-30,2024-05-03,Waste,Toronto-West
T00274,2023-04-06,2023-04-06,Roads,Scarborough
T00275,2023-03-03,2023-03-06,Tree Maintenance,Etobicoke
T00276,2023-12-04,2023-12-05,Parking Enforcement,York
T00277,2024-03-09,2024-03-10,Parking Enforcement,Toronto-East York
T00278,2023-10-22,2023-10-23,Tree Maintenance,Scarborough
T00279,2024-05-08,2024-05-09,Waste,Scarborough
T00280,2024-01-12,2024-01-15,Waste,North York
T00281,2023-01-27,2023-01-29,Tree Maintenance,Toronto-East York
T00282,2023-10-01,2023-10-04,Water,York
T00283,2023-12-26,2023-12-28,Waste,Toronto-West
T00284,2024-02-15,2024-02-19,Parking Enforcement,Scarborough
T00285,2024-06-27,2024-06-30,Waste,North York
T00286,2023-12-16,2023-12-18,Roads,York
T00287,2023-03-28,2023-03-31,Parking Enforcement,Scarborough
T00288,2023-02-20,2023-02-21,Water,Etobicoke
T00289,2024-03-28,2024-03-29,Roads,Scarborough
T00290,2024-06-08,2024-06-11,Waste,Toronto-East York
T00291,2024-05-13,2024-05-16,Tree Maintenance,North York
T00292,2023-08-14,2023-08-14,Waste,North York
T00293,2023-08-05,2023-08-08,Water,Toronto-East York
T00294,2023-10-24,2023-10-26,Water,Scarborough
T00295,2024-01-25,2024-01-27,Tree Maintenance,Scarborough
T00296,2023-12-29,2024-01-02,Waste,Scarborough
T00297,2023-03-21,2023-03-24,Parking Enforcement,Etobicoke
T00298,2024-02-19,2024-02-20,Waste,Scarborough
T00299,2023-11-29,2023-11-29,Waste,York
T00300,2024-04-16,2024-04-19,Waste,Toronto-West
T00301,2023-09-07,2023-09-07,Roads,North York
T00302,2023-03-22,2023-03-23,Roads,North York
T00303,2023-06-22,2023-06-24,Waste,Toronto-East York
T00304,2024-06-27,2024-06-27,Roads,Toronto-East York
T00305,2023-06-01,2023-06-03,Waste,Scarborough
T00306,2023-07-22,2023-07-24,Water,Scarborough
T00307,2024-05-20,2024-05-22,Roads,Etobicoke
T00308,2024-04-04,2024-04-05,Water,York
T00309,2023-11-27,2023-11-27,Parking Enforcement,Toronto-East York
T00310,2023-06-04,2023-06-04,Water,Toronto-West
T00311,2023-02-27,2023-03-01,Roads,Scarborough
T00312,2024-04-17,2024-04-18,Animal Services,Scarborough
T00313,2023-04-03,2023-04-05,Tree Maintenance,Etobicoke
T00314,2024-04-18,2024-04-18,Water,Scarborough
T00315,2023-07-12,2023-07-12,Roads,Etobicoke
T00316,2023-06-04,2023-06-07,Animal Services,Toronto-West
T00317,2023-03-28,2023-03-29,Tree Maintenance,Scarborough
T00318,2023-09-11,2023-09-12,Tree Maintenance,Toronto-East York
T00319,2024-01-08,2024-01-08,Roads,North York
T00320,2024-02-23,2024-02-25,Waste,Toronto-East York
T00321,2023-12-09,2023-12-09,Waste,Scarborough
T00322,2024-01-31,2024-02-01,Water,York
T00323,2023-06-03,2023-06-07,Roads,Etobicoke
T00324,2023-05-25,2023-05-28,Water,Toronto-East York
T00325,2023-05-13,2023-05-14,Tree Maintenance,York
T00326,2023-11-14,2023-11-14,Roads,Scarborough
T00327,2024-06-23,2024-06-24,Waste,Toronto-East York
T00328,2024-06-04,2024-06-05,Waste,Scarborough
T00329,2024-05-12,2024-05-15,Waste,York
T00330,2023-06-08,2023-06-12,Waste,Toronto-East York
T00331,2024-06-23,2024-06-26,Waste,North York
T00332,2023-05-15,2023-05-16,Waste,Toronto-East York
T00333,2023-06-19,2023-06-20,Water,Scarborough
T00334,2024-01-09,2024-01-10,Roads,North York
T00335,2024-04-04,2024-04-05,Waste,Scarborough
T00336,2024-04-25,2024-04-28,Water,Etobicoke
T00337,2024-03-27,2024-03-28,Roads,North York
T00338,2024-01-27,2024-01-27,Waste,Scarborough
T00339,2023-05-22,2023-05-24,Parking Enforcement,Scarborough
T00340,2024-05-07,2024-05-10,Waste,Toronto-West
T00341,2023-05-08,2023-05-09,Waste,Toronto-East York
T00342,2023-10-07,2023-10-07,Animal Services,Scarborough
T00343,2023-08-16,2023-08-18,Animal Services,Toronto-West
T00344,2023-01-28,2023-01-29,Roads,North York
T00345,2023-03-25,2023-03-27,Roads,Scarborough
T00346,2023-04-12,2023-04-15,Animal Services,Scarborough
T00347,2023-10-21,2023-10-21,Parking Enforcement,Etobicoke
T00348,2023-05-23,2023-05-25,Tree Maintenance,York
T00349,2023-01-20,2023-01-20,Waste,Toronto-West
T00350,2024-06-24,2024-06-24,Waste,Scarborough
T00351,2023-09-02,2023-09-05,Roads,Toronto-West
T00352,2024-04-13,2024-04-17,Roads,Etobicoke
T00353,2024-06-11,2024-06-14,Tree Maintenance,Toronto-East York
T00354,2023-10-26,2023-10-26,Waste,North York
T00355,2023-03-29,2023-04-01,Tree Maintenance,North York
T00356,2024-06-22,2024-06-22,Tree Maintenance,Scarborough
T00357,2024-04-26,2024-04-27,Waste,North York
T00358,2024-01-18,2024-01-20,Animal Services,North York
T00359,2023-04-17,2023-04-19,Animal Services,Toronto-East York
T00360,2023-12-07,2023-12-10,Roads,Toronto-East York
T00361,2024-04-20,2024-04-23,Parking Enforcement,Etobicoke
T00362,2023-07-06,2023-07-08,Animal Services,Etobicoke
T00363,2023-10-28,2023-10-29,Waste,Toronto-West
T00364,2023-02-12,2023-02-13,Roads,Toronto-West
T00365,2024-04-29,2024-05-02,Waste,Toronto-East York
T00366,2023-07-15,2023-07-16,Waste,Toronto-East York
T00367,2023-10-07,2023-10-11,Waste,North York
T00368,2024-02-14,2024-02-16,Roads,York
T00369,2024-05-23,2024-05-23,Water,North York
T00370,2024-06-15,2024-06-17,Roads,North York
T00371,2023-07-04,2023-07-06,Tree Maintenance,North York
T00372,2023-03-23,2023-03-24,Roads,Toronto-East York
T00373,2023-06-20,2023-06-23,Water,North York
T00374,2023-02-13,2023-02-14,Tree Maintenance,North York
T00375,2023-02-28,2023-02-28,Waste,Toronto-East York
T00376,2024-01-08,2024-01-08,Waste,Scarborough
T00377,2024-03-24,2024-03-26,Waste,Scarborough
T00378,2024-01-11,2024-01-11,Waste,Scarborough
T00379,2024-04-05,2024-04-09,Parking Enforcement,North York
T00380,2023-03-20,2023-03-20,Roads,Toronto-East York
T00381,2023-09-13,2023-09-14,Parking Enforcement,Scarborough
T00382,2023-07-10,2023-07-11,Tree Maintenance,North York
T00383,2023-09-24,2023-09-26,Water,Scarborough
T00384,2023-10-20,2023-10-20,Waste,Scarborough
T00385,2023-03-17,2023-03-17,Roads,Toronto-West
T00386,2024-03-31,2024-04-04,Parking Enforcement,York
T00387,2023-12-22,2023-12-24,Water,Etobicoke
T00388,2023-10-25,2023-10-29,Water,York
T00389,2023-06-28,2023-06-28,Animal Services,Etobicoke
T00390,2023-05-05,2023-05-09,Waste,Etobicoke
T00391,2024-01-05,2024-01-07,Tree Maintenance,North York
T00392,2023-05-13,2023-05-14,Roads,York
T00393,2024-05-05,2024-05-06,Tree Maintenance,Toronto-East York
T00394,2023-03-17,2023-03-20,Waste,Etobicoke
T00395,2024-06-13,2024-06-16,Roads,Toronto-West
T00396,2023-07-06,2023-07-08,Tree Maintenance,Toronto-West
T00397,2023-05-08,2023-05-09,Tree Maintenance,North York
T00398,2023-06-15,2023-06-16,Roads,York
T00399,2023-10-18,2023-10-22,Animal Services,North York
T00400,2023-10-09,2023-10-12,Tree Maintenance,Etobicoke
T00401,2023-06-22,2023-06-25,Tree Maintenance,Etobicoke
T00402,2023-06-25,2023-06-26,Tree Maintenance,Toronto-West
T00403,2023-02-12,2023-02-12,Animal Services,Scarborough
T00404,2023-02-16,2023-02-20,Waste,Scarborough
T00405,2024-03-02,2024-03-03,Tree Maintenance,Scarborough
T00406,2023-10-24,2023-10-25,Waste,Toronto-West
T00407,2024-02-20,2024-02-21,Waste,Scarborough
T00408,2023-03-03,2023-03-06,Roads,North York
T00409,2023-05-28,2023-05-31,Roads,Toronto-East York
T00410,2023-12-20,2023-12-22,Roads,Etobicoke
T00411,2023-11-23,2023-11-25,Waste,Scarborough
T00412,2024-04-05,2024-04-07,Waste,North York
T00413,2024-03-04,2024-03-06,Waste,Toronto-West
T00414,2023-06-13,2023-06-16,Water,Scarborough
T00415,2023-06-13,2023-06-13,Roads,Etobicoke
T00416,2024-05-25,2024-05-28,Waste,North York
T00417,2024-04-13,2024-04-14,Parking Enforcement,Scarborough
T00418,2023-12-28,2023-12-31,Tree Maintenance,Toronto-West
T00419,2024-04-26,2024-04-28,Waste,Scarborough
T00420,2023-04-21,2023-04-21,Water,Toronto-East York
T00421,2024-01-10,2024-01-13,Waste,Scarborough
T00422,2023-07-19,2023-07-20,Roads,Etobicoke
T00423,2023-10-14,2023-10-17,Animal Services,Toronto-East York
T00424,2023-05-02,2023-05-04,Roads,York
T00425,2024-01-10,2024-01-12,Water,Scarborough
T00426,2024-06-05,2024-06-06,Waste,Toronto-East York
T00427,2024-04-30,2024-05-02,Tree Maintenance,Scarborough
T00428,2024-06-11,2024-06-15,Roads,North York
T00429,2023-11-03,2023-11-07,Tree Maintenance,Etobicoke
T00430,2024-06-05,2024-06-05,Waste,Toronto-West
T00431,2024-01-13,2024-01-14,Roads,Scarborough
T00432,2024-03-02,2024-03-02,Water,Toronto-East York
T00433,2023-01-28,2023-01-29,Tree Maintenance,North York
T00434,2023-08-22,2023-08-23,Waste,Toronto-East York
T00435,2024-01-25,2024-01-25,Waste,Toronto-East York
T00436,2023-02-02,2023-02-02,Waste,North York
T00437,2024-03-04,2024-03-05,Waste,Toronto-East York
T00438,2024-02-25,2024-02-25,Roads,Toronto-West
T00439,2023-03-05,2023-03-07,Water,Etobicoke
T00440,2023-11-29,2023-12-02,Roads,York
T00441,2024-04-15,2024-04-17,Parking Enforcement,North York
T00442,2023-12-29,2023-12-30,Water,Toronto-West
T00443,2023-09-28,2023-09-28,Tree Maintenance,Scarborough
T00444,2023-09-10,2023-09-12,Parking Enforcement,York
T00445,2023-10-23,2023-10-26,Water,Toronto-East York
T00446,2024-05-15,2024-05-16,Parking Enforcement,Toronto-West
T00447,2023-10-08,2023-10-11,Waste,Etobicoke
T00448,2024-01-24,2024-01-27,Roads,Toronto-East York
T00449,2023-05-30,2023-05-31,Waste,North York
T00450,2023-03-22,2023-03-23,Waste,Etobicoke
T00451,2023-07-26,2023-07-29,Animal Services,North York
T00452,2023-10-06,2023-10-09,Tree Maintenance,Scarborough
T00453,2024-06-27,2024-06-30,Waste,Scarborough
T00454,2023-04-13,2023-04-13,Waste,Toronto-East York
T00455,2023-01-06,2023-01-09,Parking Enforcement,York
T00456,2023-06-11,2023-06-11,Parking Enforcement,Etobicoke
T00457,2023-07-24,2023-07-27,Water,North York
T00458,2023-10-20,2023-10-20,Waste,Etobicoke
T00459,2023-02-08,2023-02-08,Parking Enforcement,Scarborough
T00460,2023-06-30,2023-07-02,Animal Services,Toronto-West
T00461,2023-07-10,2023-07-12,Parking Enforcement,York
T00462,2023-10-24,2023-10-26,Tree Maintenance,Scarborough
T00463,2023-12-10,2023-12-12,Waste,York
T00464,2024-06-20,2024-06-20,Parking Enforcement,Etobicoke
T00465,2023-07-17,2023-07-19,Animal Services,North York
T00466,2024-04-14,2024-04-15,Waste,North York
T00467,2023-10-30,2023-10-30,Tree Maintenance,Toronto-East York
T00468,2023-06-29,2023-06-29,Roads,North York
T00469,2023-12-02,2023-12-03,Waste,Toronto-East York
T00470,2023-07-09,2023-07-12,Parking Enforcement,Scarborough
T00471,2024-01-28,2024-01-30,Waste,Toronto-East York
T00472,2023-12-04,2023-12-05,Waste,Toronto-East York
T00473,2023-08-30,2023-09-03,Waste,Scarborough
T00474,2023-11-11,2023-11-14,Parking Enforcement,Toronto-West
T00475,2023-11-15,2023-11-18,Water,Toronto-East York
T00476,2023-10-30,2023-10-31,Parking Enforcement,Etobicoke
